laboratorios Laproff -  -  - Antioquia
GFB PRO 300 (CN018022)
Historial de alarmas

'Rango : 'Por tiempo:' (01-29-2025 05:47:34 ... 02-05-2025 06:47:34)
'Filtro :   usuarios = 'Todos los usuarios'  alarmas = 'Todas las alarmas'  tipos = 'Alarma entrante' 'Conf entrante.' 'Alarmas pendientes' 'Conf saliente.'

Tiempo ,Tipo de alarma,Número,Alarma
01-29-2025 12:14:47,'Conf saliente.,'98,'MONITOREO ELECTROSTÁTICO (E205020 / E205040) - por linaro (Lina Rios Otalvaro)
01-29-2025 12:15:54,'Alarma entrante,'98 - 3,'MONITOREO ELECTROSTÁTICO (E205020 / E205040) - FALLA DE SEÑAL DE RETROALIMENTACIÓN: ANILLO DE FILTROS (E205040)
01-29-2025 12:15:54,'Alarma entrante,'98,'MONITOREO ELECTROSTÁTICO (E205020 / E205040)
01-29-2025 12:16:02,'Conf entrante.,'98 - 3,'MONITOREO ELECTROSTÁTICO (E205020 / E205040) - FALLA DE SEÑAL DE RETROALIMENTACIÓN: ANILLO DE FILTROS (E205040) - por linaro (Lina Rios Otalvaro)
01-29-2025 12:16:02,'Conf entrante.,'98,'MONITOREO ELECTROSTÁTICO (E205020 / E205040) - por linaro (Lina Rios Otalvaro)
01-29-2025 12:18:12,'Alarmas pendientes,'98 - 3,'MONITOREO ELECTROSTÁTICO (E205020 / E205040) - FALLA DE SEÑAL DE RETROALIMENTACIÓN: ANILLO DE FILTROS (E205040)
01-29-2025 12:18:12,'Alarmas pendientes,'98,'MONITOREO ELECTROSTÁTICO (E205020 / E205040)
01-29-2025 12:18:22,'Conf saliente.,'98 - 3,'MONITOREO ELECTROSTÁTICO (E205020 / E205040) - FALLA DE SEÑAL DE RETROALIMENTACIÓN: ANILLO DE FILTROS (E205040) - por linaro (Lina Rios Otalvaro)
01-29-2025 12:18:22,'Conf saliente.,'98,'MONITOREO ELECTROSTÁTICO (E205020 / E205040) - por linaro (Lina Rios Otalvaro)
01-29-2025 12:36:50,'Alarma entrante,'98,'MONITOREO ELECTROSTÁTICO (E205020 / E205040)
01-29-2025 12:36:50,'Alarma entrante,'98 - 5,'MONITOREO ELECTROSTÁTICO (E205020 / E205040) - FALLA DE SEÑAL DE RETROALIMENTACIÓN: ENVASE DE PRODUCTO (E205020)
01-29-2025 12:37:11,'Alarma entrante,'154,'VÁLVULA DE DESCARGA LATERAL (K202030)
01-29-2025 12:37:11,'Alarma entrante,'154 - 2,'VÁLVULA DE DESCARGA LATERAL (K202030) - FALLO DE SEÑAL DE RETROALIMENTACIÓN: CERRADO
01-29-2025 12:37:25,'Alarma entrante,'155,'VÁLVULA DE CARGA (V203010)
01-29-2025 12:37:25,'Alarma entrante,'155 - 2,'VÁLVULA DE CARGA (V203010) - FALLO DE SEÑAL DE RETROALIMENTACIÓN: CERRADO
01-29-2025 12:43:33,'Conf entrante.,'154,'VÁLVULA DE DESCARGA LATERAL (K202030) - por linaro (Lina Rios Otalvaro)
01-29-2025 12:43:33,'Conf entrante.,'98,'MONITOREO ELECTROSTÁTICO (E205020 / E205040) - por linaro (Lina Rios Otalvaro)
01-29-2025 12:43:33,'Conf entrante.,'154 - 2,'VÁLVULA DE DESCARGA LATERAL (K202030) - FALLO DE SEÑAL DE RETROALIMENTACIÓN: CERRADO - por linaro (Lina Rios Otalvaro)
01-29-2025 12:43:33,'Conf entrante.,'98 - 5,'MONITOREO ELECTROSTÁTICO (E205020 / E205040) - FALLA DE SEÑAL DE RETROALIMENTACIÓN: ENVASE DE PRODUCTO (E205020) - por linaro (Lina Rios Otalvaro)
